"You have already had other tangible products in your shopping cart, please complete checking them out to add <strong>%1</strong> to your cart.","Quý khách đã có sản phẩm hữu hình trong giỏ hàng, vui lòng hoàn thành đơn hàng trước khi thêm <strong>%1</strong> vào giỏ hàng."
"Used Price","Đã dùng"
"Use Now","Sử dụng"
"Please select a payment method to continue.","Vui lòng chọn một phương thức thanh toán để tiếp tục."
"Coco Coins was reset","Quyền lợi khách hàng thân thiết đã hết hạn"
"The products in this order will be added to your shopping cart to checkout.","Các sản phẩm của quý khách trên đơn hàng này sẽ được thêm vào giỏ hàng để thanh toán."
"<strong>%1</strong> is no longer available for sale.","<strong>%1</strong> đã ngừng kinh doanh.",module,Magento_Sales
"items","mục",module,Cocoro_ImprovedShoppingCart
"Remove All","Xóa tất cả",module,Cocoro_ImprovedShoppingCart
"Please select an item to checkout.","Vui lòng chọn một sản phẩm để thực hiện thanh toán.",module,Cocoro_ImprovedShoppingCart
"Removed Products","Sản phẩm không khả dụng",module,Cocoro_ImprovedShoppingCart
"Product no longer exists!","Sản phẩm không tồn tại",module,Cocoro_ImprovedShoppingCart
"Stock is insufficient","Số tồn kho không đủ",module,Cocoro_ImprovedShoppingCart
"%1 is no longer available for sale.","%1 đã ngừng kinh doanh.",module,Cocoro_ImprovedShoppingCart
"The product is no longer available for sale.","Sản phẩm đã ngừng kinh doanh.",module,Cocoro_ImprovedShoppingCart
"Your order contains e-voucher products. Please unselect them or other tangible products to checkout.","Đơn hàng của quý khách đang có sản phẩm e-voucher. Vui lòng xoá voucher khỏi giỏ hàng hoặc các sản phẩm khác để tiếp tục thanh toán.",module,Cocoro_ImprovedShoppingCart
"E-Voucher products:","Sản phẩm E-Voucher",module,Cocoro_ImprovedShoppingCart
"All products in your shopping cart will be removed.","Toàn bộ sản phẩm trong giỏ hàng của quý khách sẽ bị xoá.",module,Cocoro_ImprovedShoppingCart
"Pending Payment","Chờ thanh toán",module,Magento_Sales
"Pending","Chờ xử lý",module,Magento_Sales
"Verified","Đã xác nhận",module,Magento_Sales
"Sent to SAP","Đang xử lý",module,Magento_Sales
"Processing","Đang xử lý",module,Magento_Sales
"Shipping","Đang vận chuyển",module,Magento_Sales
"Delivery Failed","Giao hàng thất bại",module,Magento_Sales
"Delivered","Đã giao hàng",module,Magento_Sales
